useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos,sentiment
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
